id,conductor_type,conductor_size,area,diameter
1,"RHH, RHW, RHW-2",18 AWG,0,0
2,"RHH, RHW, RHW-2",16 AWG,0,0
3,"RHH, RHW, RHW-2",14 AWG,0.0293,0.193
4,"RHH, RHW, RHW-2",12 AWG,0.0353,0.212
5,"RHH, RHW, RHW-2",10 AWG,0.0437,0.236
6,"RHH, RHW, RHW-2",8 AWG,0.0835,0.326
7,"RHH, RHW, RHW-2",6 AWG,0.1041,0.364
8,"RHH, RHW, RHW-2",4 AWG,0.1333,0.412
9,"RHH, RHW, RHW-2",3 AWG,0.1521,0.44
10,"RHH, RHW, RHW-2",2 AWG,0.175,0.472
11,"RHH, RHW, RHW-2",1 AWG,0.266,0.582
12,"RHH, RHW, RHW-2",1/0 KCMIL,0.3039,0.622
13,"RHH, RHW, RHW-2",2/0  KCMIL,0.3505,0.668
14,"RHH, RHW, RHW-2",3/0 KCMIL,0.4072,0.72
15,"RHH, RHW, RHW-2",4/0 KCMIL,0.4754,0.778
16,"RHH, RHW, RHW-2",250 KCMIL,0.6291,0.895
17,"RHH, RHW, RHW-2",300 KCMIL,0.7088,0.95
18,"RHH, RHW, RHW-2",350 KCMIL,0.787,1.001
19,"RHH, RHW, RHW-2",400 KCMIL,0.8626,1.048
20,"RHH, RHW, RHW-2",500 KCMIL,1.0082,1.133
21,"RHH, RHW, RHW-2",600 KCMIL,1.2135,1.243
22,"RHH, RHW, RHW-2",700 KCMIL,1.3561,1.314
23,"RHH, RHW, RHW-2",750 KCMIL,1.4272,1.348
24,"RHH, RHW, RHW-2",800 KCMIL,1.4957,1.38
25,"RHH, RHW, RHW-2",900 KCMIL,1.6377,1.444
26,"RHH, RHW, RHW-2",1000 KCMIL,1.7719,1.502
27,"RHH, RHW, RHW-2",1250 KCMIL,2.3479,1.729
28,"RHH, RHW, RHW-2",1500 KCMIL,2.6938,1.852
29,"RHH, RHW, RHW-2",1750 KCMIL,3.0357,1.966
30,"RHH, RHW, RHW-2",2000 KCMIL,3.3719,2.072
31,"THHN, THWN, THWN-2",18 AWG,0,0
32,"THHN, THWN, THWN-2",16 AWG,0,0
33,"THHN, THWN, THWN-2",14 AWG,0.0097,0.111
34,"THHN, THWN, THWN-2",12 AWG,0.0133,0.13
35,"THHN, THWN, THWN-2",10 AWG,0.0211,0.164
36,"THHN, THWN, THWN-2",8 AWG,0.0366,0.216
37,"THHN, THWN, THWN-2",6 AWG,0.0507,0.254
38,"THHN, THWN, THWN-2",4 AWG,0.0824,0.324
39,"THHN, THWN, THWN-2",3 AWG,0.0973,0.352
40,"THHN, THWN, THWN-2",2 AWG,0.1158,0.384
41,"THHN, THWN, THWN-2",1 AWG,0.1562,0.446
42,"THHN, THWN, THWN-2",1/0 KCMIL,0.1855,0.486
43,"THHN, THWN, THWN-2",2/0  KCMIL,0.2223,0.532
44,"THHN, THWN, THWN-2",3/0 KCMIL,0.2679,0.584
45,"THHN, THWN, THWN-2",4/0 KCMIL,0.3237,0.642
46,"THHN, THWN, THWN-2",250 KCMIL,0.397,0.711
47,"THHN, THWN, THWN-2",300 KCMIL,0.4608,0.766
48,"THHN, THWN, THWN-2",350 KCMIL,0.5242,0.817
49,"THHN, THWN, THWN-2",400 KCMIL,0.5863,0.864
50,"THHN, THWN, THWN-2",500 KCMIL,0.7073,0.949
51,"THHN, THWN, THWN-2",600 KCMIL,0.8676,1.051
52,"THHN, THWN, THWN-2",700 KCMIL,0.9887,1.122
53,"THHN, THWN, THWN-2",750 KCMIL,1.0496,1.156
54,"THHN, THWN, THWN-2",800 KCMIL,1.1085,1.188
55,"THHN, THWN, THWN-2",900 KCMIL,1.2311,1.252
56,"THHN, THWN, THWN-2",1000 KCMIL,1.3478,1.31
57,"THHN, THWN, THWN-2",1250 KCMIL,0,0
58,"THHN, THWN, THWN-2",1500 KCMIL,0,0
59,"THHN, THWN, THWN-2",1750 KCMIL,0,0
60,"THHN, THWN, THWN-2",2000 KCMIL,0,0
61,"XHHW, ZW, XHHW-2, XHH",18 AWG,0,0
62,"XHHW, ZW, XHHW-2, XHH",16 AWG,0,0
63,"XHHW, ZW, XHHW-2, XHH",14 AWG,0.0139,0.133
64,"XHHW, ZW, XHHW-2, XHH",12 AWG,0.0181,0.152
65,"XHHW, ZW, XHHW-2, XHH",10 AWG,0.0243,0.176
66,"XHHW, ZW, XHHW-2, XHH",8 AWG,0.0437,0.236
67,"XHHW, ZW, XHHW-2, XHH",6 AWG,0.059,0.274
68,"XHHW, ZW, XHHW-2, XHH",4 AWG,0.0814,0.322
69,"XHHW, ZW, XHHW-2, XHH",3 AWG,0.0962,0.35
70,"XHHW, ZW, XHHW-2, XHH",2 AWG,0.1146,0.382
71,"XHHW, ZW, XHHW-2, XHH",1 AWG,0.1534,0.442
72,"XHHW, ZW, XHHW-2, XHH",1/0 KCMIL,0.1825,0.482
73,"XHHW, ZW, XHHW-2, XHH",2/0  KCMIL,0.219,0.528
74,"XHHW, ZW, XHHW-2, XHH",3/0 KCMIL,0.2642,0.58
75,"XHHW, ZW, XHHW-2, XHH",4/0 KCMIL,0.3197,0.638
76,"XHHW, ZW, XHHW-2, XHH",250 KCMIL,0.3904,0.705
77,"XHHW, ZW, XHHW-2, XHH",300 KCMIL,0.4536,0.76
78,"XHHW, ZW, XHHW-2, XHH",350 KCMIL,0.5166,0.811
79,"XHHW, ZW, XHHW-2, XHH",400 KCMIL,0.5782,0.858
80,"XHHW, ZW, XHHW-2, XHH",500 KCMIL,0.6984,0.943
81,"XHHW, ZW, XHHW-2, XHH",600 KCMIL,0.8709,1.053
82,"XHHW, ZW, XHHW-2, XHH",700 KCMIL,0.9923,1.124
83,"XHHW, ZW, XHHW-2, XHH",750 KCMIL,1.0532,1.158
84,"XHHW, ZW, XHHW-2, XHH",800 KCMIL,1.1122,1.19
85,"XHHW, ZW, XHHW-2, XHH",900 KCMIL,1.2351,1.254
86,"XHHW, ZW, XHHW-2, XHH",1000 KCMIL,1.3519,1.312
