id,conduit_type,trade_size,area,inner_diameter
1,EMT,3/8,0,0
2,EMT,1/2,0.304,0.622
3,EMT,3/4,0.533,0.824
4,EMT,1,0.864,1.049
5,EMT,1 1/4,1.496,1.38
6,EMT,1 1/2,2.036,1.61
7,EMT,2,3.356,2.067
8,EMT,2 1/2,5.858,2.731
9,EMT,3,8.846,3.356
10,EMT,3 1/2,11.545,3.834
11,EMT,4,14.753,4.334
12,EMT,5,0,0
13,EMT,6,0,0
14,ENT,3/8,0,0
15,ENT,1/2,0.285,0.602
16,ENT,3/4,0.508,0.804
17,ENT,1,0.832,1.029
18,ENT,1 1/4,1.453,1.36
19,ENT,1 1/2,1.986,1.59
20,ENT,2,3.291,2.047
21,ENT,2 1/2,0,0
22,ENT,3,0,0
23,ENT,3 1/2,0,0
24,ENT,4,0,0
25,ENT,5,0,0
26,ENT,6,0,0
27,FMC,3/8,0.116,0.384
28,FMC,1/2,0.317,0.635
29,FMC,3/4,0.533,0.824
30,FMC,1,0.817,1.02
31,FMC,1 1/4,1.277,1.275
32,FMC,1 1/2,1.858,1.538
33,FMC,2,3.269,2.04
34,FMC,2 1/2,4.909,2.5
35,FMC,3,7.069,3
36,FMC,3 1/2,9.621,3.5
37,FMC,4,12.566,4
38,FMC,5,0,0
39,FMC,6,0,0
40,IMC,3/8,0,0
41,IMC,1/2,0.342,0.66
42,IMC,3/4,0.586,0.864
43,IMC,1,0.959,1.105
44,IMC,1 1/4,1.647,1.448
45,IMC,1 1/2,2.225,1.683
46,IMC,2,3.63,2.15
47,IMC,2 1/2,5.135,2.557
48,IMC,3,7.922,3.176
49,IMC,3 1/2,10.584,3.671
50,IMC,4,13.631,4.166
51,IMC,5,0,0
52,IMC,6,0,0
53,LFNC-A,3/8,0.192,0.495
54,LFNC-A,1/2,0.312,0.63
55,LFNC-A,3/4,0.535,0.825
56,LFNC-A,1,0.854,1.043
57,LFNC-A,1 1/4,1.502,1.383
58,LFNC-A,1 1/2,2.018,1.603
59,LFNC-A,2,3.343,2.063
60,LFNC-A,2 1/2,0,0
61,LFNC-A,3,0,0
62,LFNC-A,3 1/2,0,0
63,LFNC-A,4,0,0
64,LFNC-A,5,0,0
65,LFNC-A,6,0,0
66,LFNC-B,3/8,0.192,0.494
67,LFNC-B,1/2,0.314,0.632
68,LFNC-B,3/4,0.541,0.83
69,LFNC-B,1,0.873,1.054
70,LFNC-B,1 1/4,1.528,1.395
71,LFNC-B,1 1/2,1.981,1.588
72,LFNC-B,2,3.246,2.033
73,LFNC-B,2 1/2,0,0
74,LFNC-B,3,0,0
75,LFNC-B,3 1/2,0,0
76,LFNC-B,4,0,0
77,LFNC-B,5,0,0
78,LFNC-B,6,0,0
79,LFNC-C,3/8,0.185,0.485
80,LFNC-C,1/2,0.302,0.62
81,LFNC-C,3/4,0.522,0.815
82,LFNC-C,1,0.833,1.03
83,LFNC-C,1 1/4,1.474,1.37
